@id,name,@lat,@lon
418116045,ஆழ்வார் பேட்டை,13.0374839,80.2561629
442131985,Tambaram Railway Station,12.9254158,80.1169355
442506948,Ram Nagar,12.9652457,80.2069875
454190280,Pennalur EB,12.9845117,79.9750416
454190489,Pennalur EB,12.9846204,79.9747841
459632401,,13.0545015,80.2039738
459633603,,13.0544382,80.2042343
459633606,,13.0546223,80.2013161
469106564,Nelvoy village,12.6190538,79.8284381
469114813,Bukkaturai,12.6306053,79.9301350
469115303,Mamandur,12.6539715,79.9412929
560212201,Nehru nagar,12.9426369,80.1403121
571352244,Aalaiamman Koil,13.0394488,80.2455135
577376043,Madya Kailash,13.0065537,80.2463099
595702075,Natesa Nagar,13.0573428,80.1940580
595702076,Natesa Nagar,13.0576459,80.1945516
595704144,Sai Nagar,13.0598825,80.1953348
595706156,Vadapalani Koil bus stop,13.0498765,80.2148572
595714972,Elango Nagar,13.0525853,80.1921188
595735860,Avichi bus stop,13.0473925,80.1978450
597593840,Kesavardhini bus stop,13.0419272,80.1781903
604693344,,13.0515688,80.2773605
614009832,Kamarajapuram,12.9233012,80.1550118
618609725,Sayani,13.0977818,80.2399260
675752169,,13.1089416,80.2423446
691189595,Larsen & Toubro,13.0242582,80.1786556
694064191,Medavakkam Junction,12.9205917,80.1844730
724100869,Chitoor Bus Stand,12.9660538,79.1372387
729821770,Thirumalai Pillai Road,13.0463818,80.2394822
792271330,,12.8198550,80.0369231
792469356,,12.8145607,80.0326500
792489925,,12.7995035,80.0234545
792489928,,12.8000492,80.0232115
792493820,,12.7896377,80.0169545
792496444,,12.7904888,80.0169610
792499779,,12.7769744,80.0105734
792499784,,12.7767962,80.0100640
792525868,,12.7433520,79.9927476
792525889,,12.7437826,79.9926102
792531610,,12.7382468,79.9886942
812316994,Otteri,12.8801203,80.0803767
815616656,,12.7942427,80.0198400
842831419,Vandalur zoo,12.8801424,80.0803071
934859082,Alwarthirunagar,13.0442357,80.1851648
941583422,Ampa Skywalk,13.0743151,80.2205217
959609084,,13.0531886,80.2479182
964604284,டோல் கேட்,12.9022643,80.2161796
964604586,Sunnambu Kolathur Puliyamara Stop,12.9485883,80.1989320
966544114,Ripon Building,13.0812054,80.2730145
966556116,Chintadripet,13.0750408,80.2714362
978213017,Mathur Gate,13.1668300,80.2459642
978588586,Narayanapuram,12.9404138,80.2056611
996517630,Virugambakkam,13.0463902,80.1902132
1001424410,DPI,13.0675060,80.2534748
1001424417,Ethiraj College,13.0644904,80.2589582
1001424418,Ethiraj College,13.0643704,80.2588711
1007625832,Vadapalani Junction,13.0488793,80.2119880
1007625852,Guindy,13.0077290,80.2098628
1015556637,Rampuram MIOT Hospital,13.0210492,80.1839234
1015562222,MIOT Hospital,13.0208127,80.1838081
1015569839,SRM College Bus Stop,13.0317215,80.1799082
1015570222,Arasamaram Bus Stop,13.0314288,80.1839637
1015570839,Rayala Nagar Bus Stop,13.0289829,80.1836954
1015572322,St. Johns School Bus stop,13.0312474,80.1817554
1015575361,Ayyapan Koil,13.0393621,80.1969563
1015575816,Amman Koil,13.0414839,80.1967337
1015576952,PSBB,13.0388666,80.1992208
1015577154,PSBB School,13.0411390,80.1992630
1015578911,Pondicherry Guest house,13.0417139,80.1932226
1015580858,Nesapakkam,13.0381601,80.1926862
1015581126,Ajantha,13.0373344,80.1964198
1015583032,MGR Nagar,13.0364268,80.2017334
1015583945,Pilliayar Koil,13.0407523,80.2050136
1015584175,Sivan Park,13.0411599,80.2053891
1024558013,Ashok Pillar (Towards K.K Nagar & Porur),13.0316543,80.2122049
1024560151,Ashok Pillar,13.0325550,80.2119909
1024562407,Ashok Pillar,13.0350618,80.2119045
1024570438,ESIC,13.0351977,80.2082567
1024673452,Madanandhapuram,13.0229376,80.1467353
1024674757,Moulivakkam (Bai kadai),13.0198426,80.1433427
1067520553,R.A. Puram,13.0272893,80.2542630
1069492323,Chataram Bus Stop,13.0867314,80.2757841
1109183357,,13.1210128,80.1998698
1138028750,,12.6276114,80.1941444
1183430572,Women's polytechnic,12.9966477,80.2490952
1183430650,Women's polytechnic,12.9981822,80.2489226
1183430763,Tidel park,12.9893849,80.2508691
1183430887,Tidel Park,12.9911334,80.2506682
1183431007,VHS Hospital,13.0034788,80.2474452
1185692895,Ramarathna,13.1170247,80.0968980
1185703062,Avadi Market,13.1160521,80.1062634
1200694624,Navalur,12.8445841,80.2264618
1311558790,Woodlands Theatre,13.0571946,80.2647294
1311558791,Woodlands Theatre / Wesley school,13.0571110,80.2649869
1311558792,L.I.C,13.0642263,80.2657999
1311558793,Music Academy,13.0475472,80.2610060
1311558794,Gowdia Mutt Road,13.0508912,80.2625181
1311558795,Royapettah High Road Police Station,13.0521591,80.2639569
1330414243,Oil Mill,12.9284375,80.2022010
1334303173,Narayanasamy Thottam,13.0202075,80.2626599
1453592060,Arsasi Mandi,12.9639187,80.2564812
1453592062,Kandanchavadi,12.9665741,80.2478057
1457114931,Kandanchavadi,12.9669208,80.2482764
